,Season,Round,Circuit,Driver,Grid,Constructor,Won,Weather
0,2020,1,Red Bull Ring,Bottas,1,Mercedes,1,Sunny
1,2020,1,Red Bull Ring,Leclerc,7,Ferrari,0,Sunny
2,2020,1,Red Bull Ring,Norris,3,McLaren,0,Sunny
3,2020,1,Red Bull Ring,Hamilton,5,Mercedes,0,Sunny
4,2020,1,Red Bull Ring,Sainz,8,McLaren,0,Sunny
5,2020,1,Red Bull Ring,Perez,6,Racing Point,0,Sunny
6,2020,1,Red Bull Ring,Gasly,12,AlphaTauri,0,Sunny
7,2020,1,Red Bull Ring,Ocon,14,Renault,0,Sunny
8,2020,1,Red Bull Ring,Giovinazzi,18,Alfa Romeo,0,Sunny
9,2020,1,Red Bull Ring,Vettel,11,Ferrari,0,Sunny
10,2020,1,Red Bull Ring,Latifi,20,Williams,0,Sunny
11,2020,1,Red Bull Ring,Kvyat,13,AlphaTauri,0,Sunny
12,2020,1,Red Bull Ring,Albon,4,Red Bull,0,Sunny
13,2020,1,Red Bull Ring,Raikkonen,19,Alfa Romeo,0,Sunny
14,2020,1,Red Bull Ring,Russell,17,Williams,0,Sunny
15,2020,1,Red Bull Ring,Grosjean,15,Haas F1 Team,0,Sunny
16,2020,1,Red Bull Ring,Magnussen,16,Haas F1 Team,0,Sunny
17,2020,1,Red Bull Ring,Stroll,9,Racing Point,0,Sunny
18,2020,1,Red Bull Ring,Ricciardo,10,Renault,0,Sunny
19,2020,1,Red Bull Ring,Verstappen,2,Red Bull,0,Sunny
20,2020,2,Red Bull Ring,Hamilton,1,Mercedes,1,Sunny
21,2020,2,Red Bull Ring,Bottas,4,Mercedes,0,Sunny
22,2020,2,Red Bull Ring,Verstappen,2,Red Bull,0,Sunny
23,2020,2,Red Bull Ring,Albon,6,Red Bull,0,Sunny
24,2020,2,Red Bull Ring,Norris,9,McLaren,0,Sunny
25,2020,2,Red Bull Ring,Perez,17,Racing Point,0,Sunny
26,2020,2,Red Bull Ring,Stroll,12,Racing Point,0,Sunny
27,2020,2,Red Bull Ring,Ricciardo,8,Renault,0,Sunny
28,2020,2,Red Bull Ring,Sainz,3,McLaren,0,Sunny
29,2020,2,Red Bull Ring,Kvyat,13,AlphaTauri,0,Sunny
30,2020,2,Red Bull Ring,Raikkonen,16,Alfa Romeo,0,Sunny
31,2020,2,Red Bull Ring,Magnussen,15,Haas F1 Team,0,Sunny
32,2020,2,Red Bull Ring,Grosjean,0,Haas F1 Team,0,Sunny
33,2020,2,Red Bull Ring,Giovinazzi,19,Alfa Romeo,0,Sunny
34,2020,2,Red Bull Ring,Gasly,7,AlphaTauri,0,Sunny
35,2020,2,Red Bull Ring,Russell,11,Williams,0,Sunny
36,2020,2,Red Bull Ring,Latifi,18,Williams,0,Sunny
37,2020,2,Red Bull Ring,Ocon,5,Renault,0,Sunny
38,2020,2,Red Bull Ring,Leclerc,14,Ferrari,0,Sunny
39,2020,2,Red Bull Ring,Vettel,10,Ferrari,0,Sunny
40,2020,3,Hungaroring,Hamilton,1,Mercedes,1,Sunny
41,2020,3,Hungaroring,Verstappen,7,Red Bull,0,Sunny
42,2020,3,Hungaroring,Bottas,2,Mercedes,0,Sunny
43,2020,3,Hungaroring,Stroll,3,Racing Point,0,Sunny
44,2020,3,Hungaroring,Albon,13,Red Bull,0,Sunny
45,2020,3,Hungaroring,Vettel,5,Ferrari,0,Sunny
46,2020,3,Hungaroring,Perez,4,Racing Point,0,Sunny
47,2020,3,Hungaroring,Ricciardo,11,Renault,0,Sunny
48,2020,3,Hungaroring,Sainz,9,McLaren,0,Sunny
49,2020,3,Hungaroring,Magnussen,0,Haas F1 Team,0,Sunny
50,2020,3,Hungaroring,Leclerc,6,Ferrari,0,Sunny
51,2020,3,Hungaroring,Kvyat,17,AlphaTauri,0,Sunny
52,2020,3,Hungaroring,Norris,8,McLaren,0,Sunny
53,2020,3,Hungaroring,Ocon,14,Renault,0,Sunny
54,2020,3,Hungaroring,Raikkonen,20,Alfa Romeo,0,Sunny
55,2020,3,Hungaroring,Grosjean,0,Haas F1 Team,0,Sunny
56,2020,3,Hungaroring,Giovinazzi,19,Alfa Romeo,0,Sunny
57,2020,3,Hungaroring,Russell,12,Williams,0,Sunny
58,2020,3,Hungaroring,Latifi,15,Williams,0,Sunny
59,2020,3,Hungaroring,Gasly,10,AlphaTauri,0,Sunny
60,2020,4,Silverstone Circuit,Hamilton,1,Mercedes,1,Sunny
61,2020,4,Silverstone Circuit,Verstappen,3,Red Bull,0,Sunny
62,2020,4,Silverstone Circuit,Leclerc,4,Ferrari,0,Sunny
63,2020,4,Silverstone Circuit,Ricciardo,8,Renault,0,Sunny
64,2020,4,Silverstone Circuit,Norris,5,McLaren,0,Sunny
65,2020,4,Silverstone Circuit,Ocon,9,Renault,0,Sunny
66,2020,4,Silverstone Circuit,Gasly,11,AlphaTauri,0,Sunny
67,2020,4,Silverstone Circuit,Albon,12,Red Bull,0,Sunny
68,2020,4,Silverstone Circuit,Stroll,6,Racing Point,0,Sunny
69,2020,4,Silverstone Circuit,Vettel,10,Ferrari,0,Sunny
70,2020,4,Silverstone Circuit,Bottas,2,Mercedes,0,Sunny
71,2020,4,Silverstone Circuit,Russell,20,Williams,0,Sunny
72,2020,4,Silverstone Circuit,Sainz,7,McLaren,0,Sunny
73,2020,4,Silverstone Circuit,Giovinazzi,15,Alfa Romeo,0,Sunny
74,2020,4,Silverstone Circuit,Latifi,18,Williams,0,Sunny
75,2020,4,Silverstone Circuit,Grosjean,17,Haas F1 Team,0,Sunny
76,2020,4,Silverstone Circuit,Raikkonen,16,Alfa Romeo,0,Sunny
77,2020,4,Silverstone Circuit,Kvyat,19,AlphaTauri,0,Sunny
78,2020,4,Silverstone Circuit,Magnussen,14,Haas F1 Team,0,Sunny
79,2020,4,Silverstone Circuit,Hulkenberg,13,Racing Point,0,Sunny
